line_ID,character,line
222,Pam,43
222,Oscar,4
222,Toby,4
222,Meredith,1
222,Jim,52
222,Kelly,1
222,Jan,40
222,Dwight,31
222,Darryl,8
222,Creed,4
222,Carol,30
222,Angela,5
222,Kevin,16
299,Stanley,30
299,Ryan,62
299,Roy,22
299,Phyllis,45
299,Pam,109
299,Oscar,38
299,Michael,479
299,Meredith,10
299,Toby,45
299,Kelly,21
299,Angela,27
299,Carol,3
299,Creed,27
299,Kevin,33
299,Dwight,284
299,Jan,51
299,Jim,152
299,Darryl,13
310,Meredith,3
310,Stanley,3
310,Ryan,8
310,Roy,5
310,Phyllis,12
310,Pam,57
310,Oscar,1
310,Michael,107
310,Toby,8
310,Kelly,5
310,Karen,33
310,Jim,44
310,Dwight,60
310,Darryl,3
310,Creed,3
310,Carol,18
310,Angela,35
310,Andy,28
310,Kevin,14
312,Michael,70
312,Toby,7
312,Stanley,4
312,Roy,5
312,Phyllis,2
312,Pam,33
312,Kevin,5
312,Andy,3
312,Jim,25
312,Jan,12
312,Dwight,22
312,Darryl,6
312,Angela,4
312,Karen,9
313,Stanley,8
313,Ryan,8
313,Phyllis,10
313,Pam,26
313,Michael,48
313,Kevin,7
313,Kelly,2
313,Karen,16
313,Jim,39
313,Jan,1
313,Dwight,33
313,Angela,17
313,Andy,29
314,Stanley,2
314,Ryan,3
314,Phyllis,3
314,Pam,10
314,Oscar,11
314,Michael,48
314,Meredith,2
314,Andy,39
314,Karen,4
314,Jim,25
314,Dwight,25
314,Creed,3
314,Angela,14
314,Kevin,3
315,Stanley,1
315,Ryan,6
315,Roy,1
315,Pam,30
315,Michael,76
315,Meredith,2
315,Karen,15
315,Kelly,3
315,Jim,25
315,Jan,6
315,Dwight,28
315,Angela,4
315,Kevin,2
316,Toby,2
316,Stanley,2
316,Roy,9
316,Phyllis,15
316,Pam,15
316,Michael,48
316,Meredith,1
316,Kevin,4
316,Kelly,6
316,Karen,4
316,Jim,19
316,Dwight,24
316,Angela,3
317,Toby,3
317,Stanley,1
317,Ryan,15
317,Roy,8
317,Pam,26
317,Oscar,4
317,Michael,45
317,Angela,2
317,Kevin,6
317,Kelly,9
317,Karen,5
317,Jim,11
317,Dwight,22
317,Creed,5
317,Meredith,3
318,Kevin,8
318,Ryan,3
318,Roy,22
318,Pam,22
318,Toby,3
318,Kelly,1
318,Michael,84
318,Jim,21
318,Jan,46
318,Dwight,31
318,David,8
318,Creed,2
318,Angela,1
318,Karen,12
319,Toby,17
319,Ryan,9
319,Roy,8
319,Phyllis,4
319,Pam,15
319,Oscar,4
319,Michael,104
319,Kevin,8
319,Stanley,4
319,Karen,15
319,Jim,41
319,Jan,30
319,Dwight,18
319,Darryl,42
319,Creed,3
319,Angela,11
319,Andy,2
